No.,Parts,Quantity,Price in rupees,Price in Dollars,Buying link,Notes
1,XT30 + 2,12,₹588.00,$6.81,https://robu.in/product/amass-xt3022-female-connector-xt3022-f-g-b/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWd2ITa7D5YLJ1dES2M03Hwfj&gclid=CjwKCAjwprjDBhBTEiwA1m1d0v8vfjrhWdLmxDJpuUe3kDxA4Un6GeDqncQCZZmO0ZIoLoPpkkwVOhoCqWIQAvD_BwE,This is for connecting power and canbus to motor
2,Carbon Fiber tube for leg,2 x 1meter,"₹3,398.00",$39.33,https://uavgarage.com/product/3k-roll-wrapped-carbon-fiber-tube-hollow20mmod18mmid500mml/?attribute_pa_size=30mmod-28mmid-1000mml,
3,Motors (bruh),12,"₹69,000.00",$798.56,alibaba,
4,Orange PETG,1kg,"₹1,200.00",$13.89,https://robu.in/product/esun-epetghs-filament-1-75mm-solid-orange-1kg-roll-with-paper-roll/,For the orange parts
5,Black PETG,1kg,"₹1,200.00",$13.89,https://robu.in/product/esun-epetghs-3d-printing-filament-1-75mm-solid-black/,For black parts
6,Silicone 30A for feet,1,1299,$15.03,https://www.amazon.in/RANA-POLYMERS-Silicone-RTV-Platinum/dp/B0F8HLM46L?th=1,
7,Rpi 5,1,I already have,-,-,
8,,,,,,
9,TOTAL,,"₹76,685.00",$887.50,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
